cluster,title,x,y,keywords
5,LOS ANGELES COUNTY RESTAURANT AND MARKET VIOLATIONS,0.260308252414,0.562321410165,"los, angeles, los, los, angeles, county"
0,Assessor - Publicly Owned Parcels Listing,0.241631995326,0.704715828551,"parcels, assessor, rolls, assessorid, processed, property"
0,Assessor Parcel Change File,-0.158934942241,-0.718993319469,"parcels, assessor, rolls, assessorid, processed, property"
2,Suspect Details For Deputy Involved Shooting Incidents 2010 - 2015,-0.503050492206,-0.571443886179,"shooting, involved, involved, deputy, incidents, shooting"
2,All Shootings - Incident Summary Count - 2010 - 2015,-0.330981842806,-0.507021988124,"shooting, involved, involved, deputy, incidents, shooting"
2,Deputy Details For Non- Suspect Shooting Incidents 2010 - 2015,-0.764167346622,-0.200200004631,"shooting, involved, involved, deputy, incidents, shooting"
2,Deputy Details For Suspect Involved Shooting Incidents 2010 - 2015,-0.537494315648,-0.54165569847,"shooting, involved, involved, deputy, incidents, shooting"
2,Non-Suspect Involved Shooting Incidents 2010 - 2015,-0.764167346622,-0.200200004631,"shooting, involved, involved, deputy, incidents, shooting"
2,Suspect Involved Shooting Incidents 2010 - 2015,-0.547502512706,-0.533487054959,"shooting, involved, involved, deputy, incidents, shooting"
2,All Shooting Incidents for Deputy Involved Shootings 2010 - 2015,-0.48546485871,-0.575281055351,"shooting, involved, involved, deputy, incidents, shooting"
0,Assessor Parcels Summary - 2006 thru 2015,0.280811366729,-0.332792235671,"parcels, assessor, rolls, assessorid, processed, property"
0,Assessor Parcels Data - Cross Ref 2009 thru 2015,-0.423637443764,0.660590697566,"parcels, assessor, rolls, assessorid, processed, property"
0,Assessor Parcels Data - 2006 thru 2015,-0.415451808607,0.662192603799,"parcels, assessor, rolls, assessorid, processed, property"
2,Deputy-involved-shootings,-0.45967045947,-0.597389850832,"shooting, involved, involved, deputy, incidents, shooting"
7,Total Recipients receiving County aid by Program and Age Group - Table,-0.590810158606,-0.274611296019,"program, assistance, cash, cash, total, california"
7,Total Recipients receiving County aid by Program and language - Table 2015/07,-0.592236472759,-0.280104066616,"program, assistance, cash, cash, total, california"
7,Total Recipients receiving County aid by Program and Citizenship Status - Table 2015/07,-0.592665460453,-0.277609252977,"program, assistance, cash, cash, total, california"
7,Total Recipients receiving County aid by Program and Ethnicity - Table 2015/07,-0.592665460453,-0.277609252977,"program, assistance, cash, cash, total, california"
8,2000 -  2014  Construction Permits,0.252032938786,0.407149607802,"areas, districts, unincorporated, areas, areas, unincorporated"
7,Total Recipients receiving County aid by Program and Gender - Table 2015/07,-0.595925297715,-0.277479676247,"program, assistance, cash, cash, total, california"
4,"Arts for All Advancement Grants, 2015-16",-0.0559431194125,-0.174367103183,"la, la, arts, year, school, unincorporated"
4,Los Angeles County Civic Art Collection,0.0176436386211,-0.0462889599493,"la, la, arts, year, school, unincorporated"
1,Sheriff Use of Force Definitions,-0.758446138865,0.124636445845,"plans, used, zones, areas, santa, land"
5,County of Los Angeles Employee Statistics,0.685435742339,0.0531247836261,"los, angeles, los, los, angeles, county"
1,Historical Disposal Tonnages for All In-County Jurisdictions (Including Exports),-0.0434467548814,-0.755098332606,"plans, used, zones, areas, santa, land"
4,Organizational Grants for Arts Services,-0.316638775776,-0.25849563113,"la, la, arts, year, school, unincorporated"
4,"Community Arts Partners serving LA County Public Schools, 2012",-0.207122593978,-0.31106216984,"la, la, arts, year, school, unincorporated"
4,LA County Employee Salaries,-0.0266501107879,-0.611899703025,"la, la, arts, year, school, unincorporated"
5,Free Concerts in LA County Public Sites 2015,0.172290370465,0.262607959873,"los, angeles, los, los, angeles, county"
5,Parcel or Tract Number Assignments,0.375756795239,0.488672097832,"los, angeles, los, los, angeles, county"
3,State Ridership Information FY 2014,-0.505523379195,-0.0709948823279,"provide, located, data, services, postal, runoff"
4,LA County Illegal Dumping Data in Unincorporated Areas 2011 - 2014,-0.131318098568,-0.40416506028,"la, la, arts, year, school, unincorporated"
5,Household Hazardous Waste Data 2012-2014,-0.166623218049,-0.178683231783,"los, angeles, los, los, angeles, county"
10,LA County Bikeways,0.695498499402,-0.364611544011,"subdivision, record, tract, proposed, square, maps"
5,LA County Traffic Signal Incidents,0.64916039044,0.128742753775,"los, angeles, los, los, angeles, county"
11,LA County Soil Types,0.554883058986,0.287449566783,"water, watersheds, basins, sub, layer, soil"
1,LA County SMB Major WS,-0.630687721052,0.461331244578,"plans, used, zones, areas, santa, land"
9,LA County Stream Gage,0.359753762736,-0.637389918371,"gage, report, crimes, crimes, located, statistics"
5,LA County Rainfall Intensity,0.434938165279,0.192098456266,"los, angeles, los, los, angeles, county"
9,LA County Manually Observed Non-Mechanical Rain Gages,0.622797427943,-0.384557583853,"gage, report, crimes, crimes, located, statistics"
9,LA County ALERT(Automatic Local Evaluation in Real Time)/Automatic rain gages,0.545222665797,-0.330265954474,"gage, report, crimes, crimes, located, statistics"
3,LA County Catch Basin,0.537263242084,-0.559641772005,"provide, located, data, services, postal, runoff"
11,LA COUNTY DPW CITY ANNEXATIONS,-0.578982579716,0.138065536927,"water, watersheds, basins, sub, layer, soil"
11,LA County Seawater Barriers,0.625885977271,0.274423199156,"water, watersheds, basins, sub, layer, soil"
