cluster,title,x,y,keywords
4,MBDA Locations,-0.00334980518305,0.319081949191,"providing, economic, trade, business, audits, export"
4,Plant Wall Degradative Compounds and Systems,-0.731457153581,0.059065421455,"providing, economic, trade, business, audits, export"
4,Novel Euglenoid Derived Alkaloid,-0.540290358429,-0.592662320086,"providing, economic, trade, business, audits, export"
3,Nanoporous Insulating Oxide Deionization Device Having Asymmetric Electrodes and Method of Use Thereof,-0.60290060294,-0.101313288584,"weather, radar, ocean, gis, observations, use"
4,Public Data Listing,-0.761389963463,-0.0656556023633,"providing, economic, trade, business, audits, export"
4,Industry Accounts - GDP-by-Industry,-0.452770586213,0.567849362847,"providing, economic, trade, business, audits, export"
9,Regional Accounts,-0.0797026151104,-0.0624821050611,"states, government, statistics, district, local, survey"
4,BEA iTables,-0.529507997529,-0.166349088106,"providing, economic, trade, business, audits, export"
3,NIST The Spectrum of Th-Ar Hollow Cathode Lamps in the 691nm to 5804nm region Database - SRD 161,-0.741559992516,-0.151440806779,"weather, radar, ocean, gis, observations, use"
3,NISTTech,-0.649672205356,0.0530158250928,"weather, radar, ocean, gis, observations, use"
4,NIST Radionuclide Half-Life Measurements - SRD 120,-0.0687959157019,0.252933112329,"providing, economic, trade, business, audits, export"
3,NIST Phase Diagrams and Computational Thermodynamics - Solder Systems - SRD 139,-0.323150675177,0.532692675389,"weather, radar, ocean, gis, observations, use"
3,NIST Fundamental Physical Constants - SRD 121,0.317095459202,0.726245116561,"weather, radar, ocean, gis, observations, use"
4,NIST Cryogenic Materials Property Database - SRD 152,-0.78621992391,0.0230384880113,"providing, economic, trade, business, audits, export"
4,NIST Chem-BLAST Gateway for PDB - SRD 155,-0.40124283785,0.481835490678,"providing, economic, trade, business, audits, export"
3,"NIST Available Equipment, Instruments and User Facilities",-0.697331847993,-0.182943750279,"weather, radar, ocean, gis, observations, use"
4,Data Catalog,0.552962781712,-0.595904154117,"providing, economic, trade, business, audits, export"
2,Stc2014 5yr.tsv,-0.466541571036,0.238402526127,"patented, file, week, containing, trademark, applications"
2,Assignees2014 5yr.tsv,-0.474411690075,0.212970375294,"patented, file, week, containing, trademark, applications"
4,USPTO Enterprise Data Inventory (EDI) and Public Data Listing (PDL),-0.511942106716,0.584536965059,"providing, economic, trade, business, audits, export"
2,"Patent Trial and Appeal Board records (July 2, 1997 – Present)",-0.572729634592,0.208689055343,"patented, file, week, containing, trademark, applications"
4,"Selectively Lossy, Lossless, and/or Error Robust Data Compression Method",-0.708280549373,0.0206982296659,"providing, economic, trade, business, audits, export"
2,Oversight Areas:  U.S. Patent and Trademark Office,-0.757332852376,-0.104817312693,"patented, file, week, containing, trademark, applications"
3,Operational Bright-Band Snow Level Detection Using Doppler Radar,0.529631903613,-0.531404628797,"weather, radar, ocean, gis, observations, use"
4,OIG Oversight Area Bureau of Economic Analysis,-0.368544071063,-0.578422658176,"providing, economic, trade, business, audits, export"
4,Oversight Areas:  National Technical Information Service,-0.583947871422,-0.521281286704,"providing, economic, trade, business, audits, export"
4,Oversight Areas: Economic Development Administration,-0.598925019551,-0.334162710578,"providing, economic, trade, business, audits, export"
4,Oversight Areas: International Trade Administration,-0.519723252588,-0.518440443907,"providing, economic, trade, business, audits, export"
4,Organization Chart,-0.419720135045,-0.678004774736,"providing, economic, trade, business, audits, export"
4,Enterprise Data Inventory (Redacted),0.0481650401621,0.567804631728,"providing, economic, trade, business, audits, export"
4,Investigations,-0.725981094813,-0.200948636777,"providing, economic, trade, business, audits, export"
4,Semi-Annual Reports to Congress,0.421737965492,-0.552060115573,"providing, economic, trade, business, audits, export"
4,Oversight Areas:  National Telecommunications and Information Administration,-0.568155579294,-0.497380664202,"providing, economic, trade, business, audits, export"
4,Testimony,0.119256420086,0.766656371633,"providing, economic, trade, business, audits, export"
4,Oversight Areas:  Minority Business Development Agency,0.21343434503,0.605746882636,"providing, economic, trade, business, audits, export"
3,System for Reporting High Resolution Ocean Pressures in Near Realtime for the Purposes of Tsunami Monitoring,0.414798460485,-0.627039549919,"weather, radar, ocean, gis, observations, use"
3,Stationary Tether Device for Buoy Apparatus and System for Using,-0.397013217251,0.551225071153,"weather, radar, ocean, gis, observations, use"
3,Wind Profiling Radar,-0.392805583286,0.13725651839,"weather, radar, ocean, gis, observations, use"
4,Oversight Areas:  National Oceanic and Atmospeheric Administration,0.374020254755,-0.610707484954,"providing, economic, trade, business, audits, export"
4,Mooring Line for an Oceanographic Buoy System,0.359996989952,0.70184954125,"providing, economic, trade, business, audits, export"
3,Predicting Tropical Cyclone Destructive Potential by Integrated Kinetic Energy According to the Powell/Reinhold Scale,0.139773374215,0.583027263809,"weather, radar, ocean, gis, observations, use"
4,OIG Oversight Areas Office of the Secretary,0.465431612018,-0.637031609318,"providing, economic, trade, business, audits, export"
4,"Mission Statement, Vision and Core Values",0.327390055583,0.583122438032,"providing, economic, trade, business, audits, export"
3,Projecting Images on a Sphere,0.174332711821,0.742901167096,"weather, radar, ocean, gis, observations, use"
4,OIG Oversight Area Bureau of Industry and Security,-0.52331479279,-0.358823290067,"providing, economic, trade, business, audits, export"
3,"Efficient Estimation of Spectral Moments and the Polarimetric Variables on Weather Radars, Sonars, Sodars, Acoustic Flow Meters, Lidars, and Similar Active Remote Sensing Instruments",-0.131435635585,0.343781459581,"weather, radar, ocean, gis, observations, use"
4,An Imaging Polar Nephelometer,-0.459053366652,-0.300994523609,"providing, economic, trade, business, audits, export"
4,Oversight Areas:  NIST,-0.660407298475,-0.292661920466,"providing, economic, trade, business, audits, export"
4,Annual Action Plan,0.342231830837,-0.618036308447,"providing, economic, trade, business, audits, export"
4,NOAA Fisheries Enforcement Reading Room,-0.537370573685,0.0109689501193,"providing, economic, trade, business, audits, export"
4,Freedom of Information Act Reading Room,-0.45780684763,-0.596198165351,"providing, economic, trade, business, audits, export"
4,Contact Us,0.296473120105,-0.602365937866,"providing, economic, trade, business, audits, export"
4,Organization,0.345326457258,0.653251067347,"providing, economic, trade, business, audits, export"
4,Audits Initiated,-0.733063566271,-0.266064714431,"providing, economic, trade, business, audits, export"
4,Oversight Areas: Economic and Statistics Administration,0.0440020634766,0.384448170229,"providing, economic, trade, business, audits, export"
4,Careers,-0.350809060438,-0.664618917416,"providing, economic, trade, business, audits, export"
4,Freedom of Information Act,0.279801724572,0.564467858767,"providing, economic, trade, business, audits, export"
4,2020 Census Reading Room,-0.537370573699,0.010968950114,"providing, economic, trade, business, audits, export"
4,Finalized Audits/Evaluations,0.238637794116,0.690802298256,"providing, economic, trade, business, audits, export"
4,Correspondence,-0.202918469345,-0.727293049515,"providing, economic, trade, business, audits, export"
